"region","year","value"
"종로구",2007,4923
"종로구",2008,5377
"종로구",2009,5771
"종로구",2010,6009
"종로구",2011,5865
"종로구",2012,6254
"종로구",2013,5845
"종로구",2014,7604
"종로구",2015,7044
"종로구",2016,7074
"종로구",2017,7394
"종로구",2018,8668
"종로구",2019,9149
"종로구",2020,9648
"종로구",2021,8573
"종로구",2022,8998
"종로구",2023,11178
"종로구",2024,9076
"중구",2007,3069
"중구",2008,4317
"중구",2009,5099
"중구",2010,4788
"중구",2011,4910
"중구",2012,5098
"중구",2013,5159
"중구",2014,5344
"중구",2015,5374
"중구",2016,5528
"중구",2017,5725
"중구",2018,5935
"중구",2019,6323
"중구",2020,7117
"중구",2021,7553
"중구",2022,7425
"중구",2023,7987
"중구",2024,8088
"용산구",2007,4131
"용산구",2008,4329
"용산구",2009,5094
"용산구",2010,7365
"용산구",2011,7715
"용산구",2012,7934
"용산구",2013,8187
"용산구",2014,8391
"용산구",2015,8495
"용산구",2016,8520
"용산구",2017,8664
"용산구",2018,8840
"용산구",2019,8838
"용산구",2020,10354
"용산구",2021,11170
"용산구",2022,9873
"용산구",2023,10498
"용산구",2024,13417
"성동구",2007,6237
"성동구",2008,6167
"성동구",2009,10162
"성동구",2010,7627
"성동구",2011,6963
"성동구",2012,7095
"성동구",2013,7455
"성동구",2014,7562
"성동구",2015,8928
"성동구",2016,9025
"성동구",2017,9508
"성동구",2018,10313
"성동구",2019,10764
"성동구",2020,14036
"성동구",2021,11231
"성동구",2022,11313
"성동구",2023,12141
"성동구",2024,12612
"광진구",2007,1773
"광진구",2008,5397
"광진구",2009,6676
"광진구",2010,7279
"광진구",2011,6874
"광진구",2012,7259
"광진구",2013,7506
"광진구",2014,8799
"광진구",2015,9015
"광진구",2016,8860
"광진구",2017,9711
"광진구",2018,10257
"광진구",2019,10460
"광진구",2020,11403
"광진구",2021,12159
"광진구",2022,17429
"광진구",2023,13657
"광진구",2024,18923
"동대문",2007,7352
"동대문",2008,8848
"동대문",2009,9498
"동대문",2010,5033
"동대문",2011,7795
"동대문",2012,9806
"동대문",2013,10131
"동대문",2014,12050
"동대문",2015,12689
"동대문",2016,12570
"동대문",2017,15355
"동대문",2018,15624
"동대문",2019,15477
"동대문",2020,16102
"동대문",2021,17040
"동대문",2022,17653
"동대문",2023,18625
"동대문",2024,19403
"중랑구",2007,7462
"중랑구",2008,10091
"중랑구",2009,10400
"중랑구",2010,8694
"중랑구",2011,9653
"중랑구",2012,10588
"중랑구",2013,11049
"중랑구",2014,11714
"중랑구",2015,13376
"중랑구",2016,14184
"중랑구",2017,12674
"중랑구",2018,15566
"중랑구",2019,16157
"중랑구",2020,17946
"중랑구",2021,19260
"중랑구",2022,20695
"중랑구",2023,22438
"중랑구",2024,23982
"성북구",2007,9276
"성북구",2008,10319
"성북구",2009,6747
"성북구",2010,7112
"성북구",2011,6399
"성북구",2012,12399
"성북구",2013,13106
"성북구",2014,14530
"성북구",2015,13291
"성북구",2016,13643
"성북구",2017,14082
"성북구",2018,16698
"성북구",2019,15668
"성북구",2020,17225
"성북구",2021,18225
"성북구",2022,18524
"성북구",2023,19763
"성북구",2024,28027
"강북구",2007,7183
"강북구",2008,7233
"강북구",2009,9519
"강북구",2010,8839
"강북구",2011,9427
"강북구",2012,10163
"강북구",2013,11981
"강북구",2014,12588
"강북구",2015,13457
"강북구",2016,13760
"강북구",2017,14759
"강북구",2018,15653
"강북구",2019,15501
"강북구",2020,17086
"강북구",2021,25195
"강북구",2022,26603
"강북구",2023,20398
"강북구",2024,21570
"도봉구",2007,4825
"도봉구",2008,5068
"도봉구",2009,6100
"도봉구",2010,6265
"도봉구",2011,5220
"도봉구",2012,6672
"도봉구",2013,9021
"도봉구",2014,10228
"도봉구",2015,10983
"도봉구",2016,10601
"도봉구",2017,11328
"도봉구",2018,12161
"도봉구",2019,13407
"도봉구",2020,13980
"도봉구",2021,14961
"도봉구",2022,16031
"도봉구",2023,17136
"도봉구",2024,19132
"노원구",2007,10757
"노원구",2008,11347
"노원구",2009,12379
"노원구",2010,12730
"노원구",2011,12713
"노원구",2012,14679
"노원구",2013,15107
"노원구",2014,16632
"노원구",2015,17285
"노원구",2016,17944
"노원구",2017,18895
"노원구",2018,19929
"노원구",2019,21249
"노원구",2020,21899
"노원구",2021,23770
"노원구",2022,24701
"노원구",2023,36839
"노원구",2024,27817
"은평구",2007,8018
"은평구",2008,9860
"은평구",2009,10420
"은평구",2010,12401
"은평구",2011,11796
"은평구",2012,12716
"은평구",2013,13834
"은평구",2014,15424
"은평구",2015,14849
"은평구",2016,16628
"은평구",2017,17971
"은평구",2018,18865
"은평구",2019,19974
"은평구",2020,19437
"은평구",2021,20800
"은평구",2022,22087
"은평구",2023,23291
"은평구",2024,24602
"서대문구",2007,7527
"서대문구",2008,8103
"서대문구",2009,7808
"서대문구",2010,8210
"서대문구",2011,8708
"서대문구",2012,8800
"서대문구",2013,9642
"서대문구",2014,9870
"서대문구",2015,10359
"서대문구",2016,10482
"서대문구",2017,10980
"서대문구",2018,11331
"서대문구",2019,12230
"서대문구",2020,12349
"서대문구",2021,13620
"서대문구",2022,13663
"서대문구",2023,14318
"서대문구",2024,14894
"마포구",2007,7667
"마포구",2008,8008
"마포구",2009,8558
"마포구",2010,8676
"마포구",2011,8900
"마포구",2012,9216
"마포구",2013,10844
"마포구",2014,11260
"마포구",2015,10317
"마포구",2016,10268
"마포구",2017,10451
"마포구",2018,11097
"마포구",2019,12067
"마포구",2020,12545
"마포구",2021,13329
"마포구",2022,13821
"마포구",2023,14065
"마포구",2024,14426
"양천구",2007,6206
"양천구",2008,7503
"양천구",2009,9007
"양천구",2010,8075
"양천구",2011,8190
"양천구",2012,8861
"양천구",2013,9263
"양천구",2014,10130
"양천구",2015,10581
"양천구",2016,10178
"양천구",2017,12031
"양천구",2018,13864
"양천구",2019,13614
"양천구",2020,14098
