region,year,elderly_population
종로구,2015,3982
종로구,2016,3990
종로구,2017,4252
종로구,2018,4356
종로구,2019,4542
종로구,2020,4897
종로구,2021,5247
종로구,2022,5501
종로구,2023,5900
종로구,2024,6118
중구,2015,3588
중구,2016,3606
중구,2017,3759
중구,2018,3935
중구,2019,4219
중구,2020,4526
중구,2021,5014
중구,2022,5448
중구,2023,5923
중구,2024,6187
용산구,2015,5595
용산구,2016,5680
용산구,2017,5816
용산구,2018,5973
용산구,2019,6163
용산구,2020,6395
용산구,2021,6742
용산구,2022,7222
용산구,2023,7667
용산구,2024,7441
성동구,2015,5627
성동구,2016,5790
성동구,2017,6126
성동구,2018,6517
성동구,2019,6912
성동구,2020,7361
성동구,2021,8009
성동구,2022,8611
성동구,2023,9226
성동구,2024,9647
광진구,2015,6013
광진구,2016,6331
광진구,2017,6740
광진구,2018,7104
광진구,2019,7605
광진구,2020,8200
광진구,2021,8993
광진구,2022,9846
광진구,2023,10415
광진구,2024,11148
동대문구,2015,8573
동대문구,2016,8938
동대문구,2017,9379
동대문구,2018,9808
동대문구,2019,10434
동대문구,2020,11072
동대문구,2021,11998
동대문구,2022,12910
동대문구,2023,13947
동대문구,2024,14633
중랑구,2015,8900
중랑구,2016,9513
중랑구,2017,10276
중랑구,2018,10940
중랑구,2019,11877
중랑구,2020,13280
중랑구,2021,14555
중랑구,2022,15912
중랑구,2023,17323
중랑구,2024,18803
성북구,2015,9154
성북구,2016,9522
성북구,2017,9926
성북구,2018,10370
성북구,2019,10936
성북구,2020,11771
성북구,2021,12855
성북구,2022,13891
성북구,2023,14866
성북구,2024,15827
강북구,2015,9049
강북구,2016,9502
강북구,2017,10255
강북구,2018,10854
강북구,2019,11631
강북구,2020,12704
강북구,2021,13860
강북구,2022,14959
강북구,2023,16081
강북구,2024,17191
도봉구,2015,7281
도봉구,2016,8044
도봉구,2017,8520
도봉구,2018,9097
도봉구,2019,9858
도봉구,2020,10706
도봉구,2021,11830
도봉구,2022,12834
도봉구,2023,14001
도봉구,2024,15155
노원구,2015,12240
노원구,2016,13004
노원구,2017,14029
노원구,2018,15020
노원구,2019,16299
노원구,2020,17738
노원구,2021,19299
노원구,2022,20720
노원구,2023,22402
노원구,2024,23808
은평구,2015,9768
은평구,2016,10331
은평구,2017,11068
은평구,2018,11731
은평구,2019,12673
은평구,2020,14020
은평구,2021,15393
은평구,2022,16692
은평구,2023,18133
은평구,2024,19415
서대문구,2015,6852
서대문구,2016,7219
서대문구,2017,7570
서대문구,2018,7845
서대문구,2019,8338
서대문구,2020,8899
서대문구,2021,9612
서대문구,2022,10272
서대문구,2023,10958
서대문구,2024,11506
마포구,2015,6781
마포구,2016,6946
마포구,2017,7278
마포구,2018,7590
마포구,2019,7948
마포구,2020,8569
마포구,2021,9308
마포구,2022,9904
마포구,2023,10573
마포구,2024,11101
양천구,2015,7275
양천구,2016,7847
양천구,2017,8282
양천구,2018,8950
양천구,2019,9745
양천구,2020,10847
양천구,2021,12042
양천구,2022,13211
양천구,2023,14447
양천구,2024,15439
강서구,2015,10390
강서구,2016,11469
강서구,2017,12557
강서구,2018,13487
강서구,2019,14836
강서구,2020,16294
강서구,2021,18123
강서구,2022,19760
강서구,2023,21701
강서구,2024,23386
구로구,2015,7228
구로구,2016,7759
구로구,2017,8366
구로구,2018,8961
구로구,2019,9795
구로구,2020,10819
구로구,2021,11970
구로구,2022,13152
구로구,2023,14348
구로구,2024,15352
금천구,2015,5352
금천구,2016,5777
금천구,2017,6042
금천구,2018,6407
금천구,2019,6913
금천구,2020,7619
금천구,2021,8379
금천구,2022,9194
금천구,2023,9830
금천구,2024,10700
영등포구,2015,7898
영등포구,2016,8149
영등포구,2017,8477
영등포구,2018,8678
영등포구,2019,9259
영등포구,2020,10036
영등포구,2021,10845
영등포구,2022,11702
영등포구,2023,12609
영등포구,2024,13338
동작구,2015,7177
동작구,2016,7482
동작구,2017,7997
동작구,2018,8453
동작구,2019,9187
동작구,2020,9923
동작구,2021,10808
동작구,2022,11599
동작구,2023,12292
동작구,2024,12954
관악구,2015,9640
관악구,2016,10333
관악구,2017,10915
관악구,2018,11503
관악구,2019,12500
관악구,2020,13676
관악구,2021,15039
관악구,2022,16292
관악구,2023,17603
관악구,2024,18862
서초구,2015,4855
서초구,2016,5152
서초구,2017,5575
서초구,2018,5888
서초구,2019,6277
서초구,2020,6891
서초구,2021,7531
서초구,2022,8014
서초구,2023,8726
서초구,2024,9309
강남구,2015,7514
강남구,2016,7906
강남구,2017,8502
강남구,2018,8819
강남구,2019,9490
강남구,2020,10335
강남구,2021,11593
강남구,2022,12442
강남구,2023,13459
강남구,2024,14616
송파구,2015,8081
송파구,2016,8586
송파구,2017,9326
송파구,2018,10036
송파구,2019,11128
송파구,2020,12324
송파구,2021,13807
송파구,2022,15163
송파구,2023,16605
송파구,2024,17646
강동구,2015,7318
강동구,2016,7580
강동구,2017,8207
강동구,2018,8666
강동구,2019,9523
강동구,2020,10831
강동구,2021,12532
강동구,2022,13821
강동구,2023,15313
강동구,2024,16604
