iter	Passed	Remaining
0	0	295
1	1	300
2	2	303
3	3	308
4	3	286
5	4	279
6	4	262
7	5	258
8	5	256
9	6	257
10	7	257
11	7	255
12	8	250
13	8	246
14	9	248
15	10	250
16	11	252
17	12	255
18	12	256
19	13	254
20	13	252
21	14	250
22	15	248
23	15	246
24	16	243
25	16	243
26	17	241
27	18	239
28	18	237
29	19	242
30	20	241
31	20	239
32	21	239
33	22	239
34	22	238
35	23	237
36	23	235
37	24	235
38	25	233
39	25	233
40	26	233
41	27	232
42	27	230
43	28	229
44	28	228
45	29	227
46	30	226
47	30	225
48	31	223
49	31	223
50	32	222
51	33	222
52	34	222
53	34	221
54	35	220
55	35	220
56	36	220
57	37	218
58	37	218
59	38	217
60	38	216
61	39	215
62	40	215
63	40	214
64	41	213
65	42	212
66	42	211
67	43	211
68	43	210
69	44	209
70	44	208
71	45	207
72	46	207
73	46	206
74	47	205
75	48	204
76	48	203
77	49	203
78	49	202
79	50	202
80	51	201
81	51	200
82	52	200
83	52	199
84	53	198
85	54	197
86	54	197
87	55	196
88	56	196
89	56	195
90	57	194
91	57	193
92	58	192
93	58	191
94	59	191
95	60	191
96	61	190
97	61	190
98	62	189
99	63	189
100	63	188
101	64	188
102	64	187
103	65	186
104	66	185
105	66	184
106	67	184
107	67	183
108	68	183
109	69	182
110	69	181
111	70	181
112	71	180
113	71	179
114	72	179
115	72	178
116	73	177
117	74	177
118	74	176
119	75	175
120	75	175
121	76	174
122	77	173
123	77	173
124	78	172
125	78	171
126	79	171
127	80	170
128	80	169
129	81	169
130	82	169
131	83	169
132	84	168
133	84	167
134	85	167
135	85	166
136	86	166
137	87	165
138	87	164
139	88	163
140	88	163
141	89	162
142	90	162
143	90	161
144	91	160
145	92	160
146	92	159
147	93	158
148	93	158
149	94	157
150	94	156
151	95	155
152	96	155
153	96	154
154	97	153
155	97	153
156	98	152
157	99	151
158	99	151
159	100	150
160	101	150
161	101	149
162	102	148
163	102	147
164	103	147
165	103	146
166	104	145
167	104	144
168	105	144
169	106	143
170	106	142
171	107	142
172	107	141
173	108	140
174	108	139
175	109	139
176	110	138
177	110	138
178	111	137
179	111	136
180	112	136
181	112	135
182	113	134
183	114	134
184	114	133
185	115	132
186	115	132
187	116	131
188	117	130
189	117	130
190	118	129
191	118	128
192	119	128
193	119	127
194	120	126
195	120	125
196	121	125
197	121	124
198	122	123
199	123	123
200	123	122
201	124	121
202	124	121
203	125	120
204	126	119
205	126	119
206	127	118
207	127	118
208	128	117
209	128	116
210	129	116
211	130	115
212	130	114
213	131	114
214	131	113
215	132	112
216	133	112
217	133	111
218	134	110
219	134	110
220	135	109
221	135	108
222	136	108
223	136	107
224	137	106
225	137	106
226	138	105
227	139	105
228	140	104
229	141	104
230	142	103
231	142	103
232	143	102
233	143	102
234	144	101
235	145	100
236	145	100
237	146	99
238	146	98
239	147	98
240	148	97
241	148	97
242	149	96
243	149	95
244	150	95
245	150	94
246	151	93
247	152	93
248	152	92
249	153	92
250	154	91
251	154	90
252	155	90
253	155	89
254	156	89
255	157	88
256	157	87
257	158	87
258	159	86
259	159	85
260	160	85
261	160	84
262	161	84
263	161	83
264	162	82
265	163	82
266	163	81
267	164	80
268	164	80
269	165	79
270	165	78
271	166	78
272	167	77
273	167	77
274	168	76
275	168	75
276	169	75
277	170	74
278	170	74
279	171	73
280	172	72
281	172	72
282	173	71
283	174	71
284	174	70
285	175	69
286	176	69
287	176	68
288	177	68
289	177	67
290	178	66
291	178	66
292	179	65
293	180	64
294	180	64
295	181	63
296	181	63
297	182	62
298	183	61
299	183	61
300	184	60
301	184	59
302	185	59
303	186	58
304	186	58
305	187	57
306	187	56
307	188	56
308	188	55
309	189	54
310	189	54
311	190	53
312	191	53
313	191	52
314	192	51
315	192	51
316	193	50
317	193	49
318	194	49
319	195	48
320	195	48
321	196	47
322	197	47
323	198	46
324	198	45
325	199	45
326	199	44
327	200	44
328	201	43
329	201	42
330	202	42
331	202	41
332	203	41
333	204	40
334	205	39
335	205	39
336	206	38
337	206	37
338	207	37
339	208	36
340	208	36
341	209	35
342	209	34
343	210	34
344	211	33
345	211	33
346	212	32
347	212	31
348	213	31
349	213	30
350	214	29
351	215	29
352	215	28
353	216	28
354	216	27
355	217	26
356	217	26
357	218	25
358	218	25
359	219	24
360	220	23
361	220	23
362	221	22
363	221	21
364	222	21
365	222	20
366	223	20
367	224	19
368	224	18
369	225	18
370	225	17
371	226	17
372	227	16
373	227	15
374	228	15
375	228	14
376	229	14
377	230	13
378	230	12
379	231	12
380	232	11
381	232	10
382	233	10
383	233	9
384	234	9
385	235	8
386	235	7
387	236	7
388	236	6
389	237	6
390	237	5
391	238	4
392	239	4
393	240	3
394	240	3
395	241	2
396	241	1
397	242	1
398	243	0
399	243	0
